ReplicaSet,Solution,Experiment,SmocId,RestoreDurationInSec,VmPeak,VmSize,VmHWM,VmRSS,VmData,DeltaMemoryUsageInKbFromTop
4,centralized,1,smoc1,54.653,4420,4568,14832,21328,9320,2436
4,centralized,1,smoc2,54.051,952,4352,10624,15316,8132,2434
4,centralized,1,smoc3,54.612,6796,4548,20664,17596,10152,2435
4,centralized,1,smoc4,54.119,228,5328,8552,16092,8196,2438
4,centralized,1,smoc5,20.877,8844,8524,20564,24140,12004,2438
4,centralized,2,smoc1,41.763,6600,2272,17004,19680,8652,2434
4,centralized,2,smoc2,41.631,5524,2940,5244,18044,8196,2438
4,centralized,2,smoc3,41.529,2916,5060,7644,20964,11396,2437
4,centralized,2,smoc4,41.315,4176,5132,9364,22756,11540,2436
4,centralized,2,smoc5,15.821,1780,772,7868,448,4776,2440
4,centralized,3,smoc1,44.838,5596,4364,22564,23880,11484,2433
4,centralized,3,smoc2,45.432,4132,5320,7692,21652,11356,2439
4,centralized,3,smoc3,44.941,5524,4244,22624,22080,10204,2436
4,centralized,3,smoc4,45.085,3176,5072,3396,18520,10776,2438
4,centralized,3,smoc5,19.276,4600,1028,8028,6576,3588,2435
4,centralized,4,smoc1,40.256,788,5320,8756,22596,11228,2436
4,centralized,4,smoc2,40.678,2696,6612,11880,21204,12808,2437
4,centralized,4,smoc3,40.564,1968,6612,10800,20096,12692,2435
4,centralized,4,smoc4,40.364,2324,5380,15544,23248,11524,2436
4,centralized,4,smoc5,20.069,3020,1500,8140,7744,1324,2439
4,centralized,5,smoc1,41.529,10004,5036,23280,20988,11388,2435
4,centralized,5,smoc2,42.562,3092,5524,8820,18416,11292,2436
4,centralized,5,smoc3,41.948,1592,4332,13244,19860,10088,2434
4,centralized,5,smoc4,42.678,9576,5008,20844,20564,12996,2435
4,centralized,5,smoc5,20.501,5484,1548,10364,14052,4964,2436
4,centralized,6,smoc1,40.964,3080,4684,16252,23916,7836,2436
4,centralized,6,smoc2,41.103,796,5264,8436,16292,9960,2435
